1,"Mort de David Stern, « l’étoile polaire » de la NBA",Clément Martel,01 janvier 2020 à 23h58,"Stratège du développement de la ligue de basket nord-américaine, l’ancien commissaire, qui a dirigé la NBA pendant trente ans, est mort mercredi à l’âge de 77 ans.",https://www.lemonde.fr/disparitions/article/2020/01/01/mort-de-david-stern-l-etoile-polaire-de-la-nba_6024554_3382.html
2,"En Autriche, conservateurs et Verts parviennent à un accord de gouvernement",Le Monde avec AFP,01 janvier 2020 à 21h36,"Le tandem n’a rien d’évident entre le libéral Kurz, partisan d’une ligne dure sur l’immigration, et des Verts ancrés à gauche. Le pays figurera parmi les Etats de l’UE où des écologistes participent au gouvernement.",https://www.lemonde.fr/international/article/2020/01/01/en-autriche-les-conservateurs-et-les-verts-parviennent-a-sceller-un-accord-de-gouvernement_6024553_3210.html
3,"En plein conflit sur les retraites, la distinction du patron français de BlackRock passe mal",Le Monde avec AFP,01 janvier 2020 à 21h19,"Le patron de la branche française du géant américain de la finance a été élevé au grade d’officier de la Légion d’honneur. Une distinction dénoncée, alors que la réforme est accusée de faire le lit d’un système par capitalisation.",https://www.lemonde.fr/politique/article/2020/01/01/en-plein-conflit-sur-les-retraites-la-distinction-du-patron-du-geant-de-la-finance-blackrock-passe-mal_6024552_823448.html
4,"Guinée-Bissau : victoire de l’opposant Umaro Sissoco Embalo, contestée par son adversaire",Le Monde avec AFP,01 janvier 2020 à 20h04,"Le président élu est un général de brigade de réserve, ancien premier ministre, spécialiste des questions de défense et géostratégiques.",https://www.lemonde.fr/afrique/article/2020/01/01/guinee-bissau-victoire-de-l-opposant-umaro-sissoco-embalo-contestee-par-son-adversaire_6024551_3212.html
5,"Réforme des retraites : Macron reste inflexible, aucune issue ne se profile",Le Monde avec AFP,01 janvier 2020 à 18h15,"La grève devient jeudi le plus long conflit à la SNCF depuis 1986-1987, avec 29 jours d’affilée, sans que se profile le « compromis rapide » souhaité par le président.",https://www.lemonde.fr/politique/article/2020/01/01/reforme-des-retraites-macron-reste-inflexible-aucune-issue-ne-se-profile_6024550_823448.html
6,Comment les idées viennent aux scientifiques : « Mon grand-père me racontait des histoires d’invention »,Laure Belot,01 janvier 2020 à 18h00,"Daniel Labbé, 62 ans, chirurgien plasticien et spécialiste de la face a mis au point une technique mondialement utilisée de restauration du sourire.",https://www.lemonde.fr/sciences/article/2020/01/01/comment-les-idees-viennent-aux-scientifiques-mon-grand-pere-me-racontait-des-histoires-d-invention_6024549_1650684.html
7,"« Tout en haut du monde » : Sacha, l’autre « reine des neiges » sur petit écran",Noémie Luciani,01 janvier 2020 à 18h00,"Avec une grande économie de moyens et d’effets, Rémi Chayé raconte l’épopée d’une jeune Russe à la recherche de son grand-père au pôle Nord",https://www.lemonde.fr/culture/article/2020/01/01/tout-en-haut-du-monde-sacha-l-autre-reine-des-neiges-sur-petit-ecran_6024548_3246.html
8,"Harry Kupfer, une vie au service de l’opéra",Marie-Aude Roux,01 janvier 2020 à 17h51,"Le metteur en scène allemand, ancien directeur de l’Opéra-Comique de Berlin, réputé pour son travail sur les opéras de Wagner, est mort le 30 décembre à l’âge de 84 ans.",https://www.lemonde.fr/disparitions/article/2020/01/01/harry-kupfer-une-vie-au-service-de-l-opera_6024547_3382.html
9,"Le mercato de football commence, véritable chamboule-tout hivernal",?,01 janvier 2020 à 16h26,"Souvent remis en cause, le marché des transferts de la mi-saison a ouvert ce mercredi. Un mois de rumeurs et de mouvement pouvant sauver des clubs, comme les perdre.",https://www.lemonde.fr/sport/article/2020/01/01/football-ouverture-du-mercato-le-chamboule-tout-hivernal_6024545_3242.html
10,"Thomas Sankara, l’homme intègre",Pierre Lepidi,01 janvier 2020 à 16h00,"« Thomas Sankara, l’immortel » (1/5). A la tête de la révolution burkinabée, le capitaine avait fait de la lutte contre la corruption l’une de ses priorités.",https://www.lemonde.fr/afrique/article/2020/01/01/thomas-sankara-l-homme-integre_6024544_3212.html
11,« Vie de Gérard Fulmard » : un dur à cuire à la sauce Jean Echenoz,Raphaëlle Leyris,01 janvier 2020 à 16h00,"Prenez un détective privé, une tragédie classique, quelques faits divers, liez d’une phrase minutieuse et désinvolte, servez. Le nouveau roman de Jean Echenoz est un délice.",https://www.lemonde.fr/critique-litteraire/article/2020/01/01/vie-de-gerard-fulmard-un-dur-a-cuire-a-la-sauce-jean-echenoz_6024543_5473203.html
12,Jean Echenoz : « J’ai fini par avoir une véritable affection pour mon héros Gérard Fulmard »,Florence Bouchy,01 janvier 2020 à 16h00,"L’écrivain reçoit chez lui, à Paris – ville où se déploie « Vie de Gérard Fulmard » – pour évoquer la conception de ce nouveau roman, son esthétique de la distance et sa stylistique ludique.",https://www.lemonde.fr/livres/article/2020/01/01/jean-echenoz-j-ai-fini-par-avoir-une-veritable-affection-pour-fulmard_6024542_3260.html
13,"Jeu vidéo : sur les traces de l’Alf, la console soviétique oubliée",William Audureau,01 janvier 2020 à 15h48,"EnquêteEn 1991, une usine d’Etat biélorusse lançait sur le marché communiste sa réponse à la NES de Nintendo. Une des consoles les plus obscures au monde, que nous avons retrouvée.",https://www.lemonde.fr/pixels/article/2020/01/01/jeu-video-sur-les-traces-de-l-alf-la-console-sovietique-oubliee_6024541_4408996.html
14,Les femmes au cœur du message du 1er janvier du pape François,Le Monde avec AFP,01 janvier 2020 à 15h34,"Le pape, âgé de 83 ans, a estimé que « toute violence faite à la femme est une profanation de Dieu, né d’une femme ».",https://www.lemonde.fr/societe/article/2020/01/01/les-femmes-au-c-ur-du-message-du-1er-janvier-du-pape-francois_6024539_3224.html
